T_years,duration_hours,intensity_mm_per_hr
25,0.557931,134.8391
25,0.570876,132.5649
25,0.584121,130.3291
25,0.597674,128.131
25,0.611541,125.9699
25,0.625729,123.8453
25,0.640247,121.7566
25,0.655102,119.7031
25,0.670301,117.6842
25,0.685853,115.6993
25,0.701766,113.748
25,0.718048,111.8295
25,0.734708,109.9434
25,0.751754,108.0892
25,0.769196,106.2661
25,0.787042,104.4739
25,0.805303,102.7118
25,0.823987,100.9795
25,0.843105,99.2764
25,0.862666,97.602
25,0.882681,95.9559
25,0.903161,94.3375
25,0.924115,92.7465
25,0.945556,91.1822
25,0.967495,89.6444
25,0.989942,88.1324
25,1.01291,86.646
25,1.036411,85.1847
25,1.060457,83.7479
25,1.085062,82.3355
25,1.110237,80.9468
25,1.135996,79.5816
25,1.162353,78.2394
25,1.189321,76.9198
25,1.216915,75.6225
25,1.245149,74.3471
25,1.274038,73.0931
25,1.303598,71.8604
25,1.333843,70.6484
25,1.364791,69.4568
25,1.396456,68.2854
25,1.428856,67.1337
25,1.462007,66.0014
25,1.495928,64.8883
25,1.530636,63.7939
25,1.566149,62.7179
25,1.602486,61.6602
25,1.639666,60.6202
25,1.677708,59.5978
25,1.716634,58.5926
25,1.756462,57.6044
25,1.797215,56.6329
25,1.838913,55.6777
25,1.881578,54.7387
25,1.925234,53.8155
25,1.969902,52.9078
25,2.015606,52.0155
25,2.062372,51.1382
25,2.110222,50.2757
25,2.159182,49.4278
25,2.209278,48.5941
25,2.260537,47.7746
25,2.312984,46.9688
25,2.366649,46.1766
25,2.421559,45.3978
25,2.477743,44.6322
25,2.53523,43.8794
25,2.594051,43.1393
25,2.654237,42.4118
25,2.715819,41.6964
25,2.77883,40.9932
25,2.843303,40.3018
25,2.909272,39.6221
25,2.976772,38.9538
25,3.045837,38.2969
25,3.116505,37.6509
25,3.188813,37.0159
25,3.262798,36.3916
25,3.338499,35.7779
25,3.415958,35.1744
25,3.495213,34.5812
25,3.576307,33.9979
25,3.659283,33.4245
25,3.744183,32.8608
25,3.831054,32.3066
25,3.91994,31.7617
25,4.010889,31.226
25,4.103947,30.6994
25,4.199165,30.1816
25,4.296592,29.6726
25,4.396279,29.1721
25,4.498279,28.6801
25,4.602646,28.1964
25,4.709434,27.7208
25,4.8187,27.2533
25,4.930501,26.7937
25,5.044896,26.3418
25,5.161945,25.8975
25,5.28171,25.4607
25,5.404254,25.0313
25,5.52964,24.6091
25,5.657936,24.1941
25,5.789209,23.786
25,5.923527,23.3848
25,6.060961,22.9904
25,6.201585,22.6027
25,6.345471,22.2215
25,6.492695,21.8467
25,6.643335,21.4782
25,6.797471,21.116
25,6.955182,20.7598
25,7.116552,20.4097
25,7.281667,20.0655
25,7.450613,19.7271
25,7.623478,19.3943
25,7.800354,19.0672
25,7.981334,18.7457
25,8.166512,18.4295
25,8.355988,18.1187
25,8.549859,17.8131
25,8.748228,17.5127
25,8.9512,17.2173
25,9.158881,16.9269
25,9.371381,16.6414
25,9.588811,16.3607
25,9.811286,16.0848
